Categoria,Funzionalita,Automazione_Level,Beneficio
Controllo Climatico,Termoregolazione Automatica,9,35% risparmio energia
Controllo Climatico,Controllo Luci Intelligente,8,Ambiente accogliente
Controllo Climatico,Gestione Ventilazione,7,Aria sempre pulita
Sicurezza,Videosorveglianza AI,10,Sicurezza H24
Sicurezza,Sistema Allarme Integrato,10,Protezione totale
Sicurezza,Controllo Accessi,9,Solo personale autorizzato
Sicurezza,Rilevamento Intrusioni,10,Allarme immediato
Gestione Cucina,Monitoraggio Temperature HACCP,10,Conformità HACCP
Gestione Cucina,Alert Scadenze,8,Zero scadenze perse
Gestione Cucina,Controllo Frigoriferi,9,Temperature sempre ok
Monitoraggio,Dashboard Centralizzata,8,Controllo totale
Monitoraggio,Notifiche Mobile,9,Sempre informato
Monitoraggio,Report Automatici,7,Dati per decidere
