Fase,Azione,Investimento_EUR,Durata_Mesi,ROI_Atteso_Perc,Clienti_Nuovi_Mese,Descrizione
Immediata,Ottimizzazione Google My Business,0,1,25,5,"Ottimizzazione completa scheda GMB con foto, orari, menu"
Immediata,Setup TikTok Business,0,1,20,3,Creazione account business TikTok con prime pubblicazioni
Immediata,Audit Facebook/Instagram,0,1,15,2,Analisi performance attuali e ottimizzazione profili
Immediata,Formazione staff social,400,1,10,1,Workshop per staff su gestione interazioni e customer care
Fase 1,Social Media Manager (Golden),380,6,30,8,Gestione professionale 12 post/mese con report mensili
Fase 1,Food Photography setup,1500,1,35,5,Attrezzatura professionale per food photography interna
Fase 1,Video menu piatti signature,2500,1,40,12,Video promozionali gnocchi tartufo e risotto Amarone
Fase 1,Campagne Facebook Ads locali,600,6,50,15,Targeting locale 20km + retargeting visitatori sito
Fase 1,Google Ads ricerca locale,450,6,45,10,Campagne su ricerche 'ristorante Garda' e correlate
Fase 2,Collaborazione food blogger Veneto,1500,3,65,20,Partnership con 3-4 food blogger territorio veneto
Fase 2,Creazione contenuti video storia casale,3000,1,30,8,Video storytelling storia casale 500esco + tradizione
Fase 2,LinkedIn per eventi corporate,200,3,20,5,Profilo LinkedIn per eventi aziendali e matrimoni
Fase 2,Email marketing automation,300,12,25,6,Newsletter mensile + automazioni prenotazioni
Fase 3,Influencer marketing regionale,3000,6,70,25,Collaborazione con influencer gastronomici regionali
Fase 3,Espansione TikTok avanzata,800,12,60,18,Contenuti TikTok avanzati + advertising sulla piattaforma
Fase 3,Sistema CRM integrato,1200,12,40,12,Sistema gestione clienti con feedback automatizzato
